ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
28 ,owner,East Jonathan,TV, 2400, 22,.2023-11-20,Daniel Garcia,edward94?example.org,001-419-330-3873x87349?,"USS Fuller
FPO AA 30334",Efectivo,Entregado,_Producto defectuoso,21  
20  ,education,Trujillofort,spring,  600, 18,2023-01-04 ,Larry Welch,powersjimmy@example.org.,(175)317-5834,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",_Efectivo,Entregado,Producto defectuoso,87 
25  ,strategy,Nguyenshire,group, 900,28 ,2023-05-05,Kelsey Lopez,estesjon@example.org,857-262-8794,"_493 Cameron Ramp
Veronicatown, MI 81010",Efectivo,En!camino,Producto defectuoso,  12
9,present,South Thomas,budget,  700,27  ,2023-06-28*,Sharon Lowe,estesjon@example.org,?001-594-337-5421x87814,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo, Entregado,Producto defectuoso,28 
9,song,New Reginaldmouth,at, 200,  29,2023-07-08.,Alan Bird, edward94@example.org,001-236-332-5014x39284,"30768 Louis Mill
Lake Carmen, LA 47934*",_Tarjeta, Entregado,Producto defectuoso,14 
  5,wait*,Valerietown,*whom,1300  ,27  ,2023-06-28,Crystal Chambers ,estesjon@example.org,857-262-8794,"283 Cynthia Groves Apt. 671
Weavermouth, ID 06739",*Efectivo,Entregado ,*Producto defectuoso,19 
  21,under,Lindaport,_whom,  1300, 14,2023-07-10?,David Norton,powersjimmy@example.org, 857-262-8794,"9978 Kenneth Plaza Suite 069
Monicafurt, NM 39529",Efectivo,Entregado,Producto defectuoso.,72  
10 ,*democratic,Milesburgh,*leader, 200,11,2023-06-06,Michelle Mitchell,estesjon@example.org , 280.504.6212,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,Entregado.,Producto?defectuoso,19 
19  ,door_,Jodichester?,budget?,300 ,22  ,2023-06-17,Alan Bird,ydavid@example.com,+1-105-592-6193x7727_,"915 Mathis Camp Apt. 447
Thomastown, MS 44338.",*Tarjeta,Entregado,,27
  17,door,East Jonathan,individual_, 300,25,.2023-07-25,Lisa Stafford,*rdaugherty@example.net,870-860-8083x698,"USS Fuller
FPO AA 30334",Tarjeta ,Entregado,,  12
  29,trade,Valerietown,individual,  300, 27,2023-04-14,Juan Manning,_matthew29@example.com,848-723-3346,"664 Berger Rapid
South Suzanne, WV 68526",Efectivo,Entregado_,.Producto defectuoso,27
  23,kitchen,New Reginaldmouth_,*job,3000 ,16 ,2023-09-13,Dr. Monica Woods,edward94@example.org_,339-100-4282x04920?,"233 Peterson Canyon
Tranmouth, ND 40770",Tarjeta?,En?camino,., 19
 1,operation,East Josephland,individual, 200,11,2023-05-06,Andrew Mitchell,paul49@example.net*,(175)317-5834,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Efectivo*,Entregado,,83 
20 ,trade,Lindaport,still,300  ,23 ,_2023-10-15,?Karl Cardenas,rbrown@example.org,(686)499-0991 ,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo,En camino,,88
5  ,present,East Brittany?,matter,200  ,28  ,2022-12-04,Adam  Mueller, paul02@example.com,621-875-1265x11205,"664 Berger Rapid
South Suzanne, WV 68526",Tarjeta,Entregado*,Producto defectuoso,28 
20  , present,South Timothyberg*,north,  300,11,2023-05-06 ,Sean Mitchell,*ydavid@example.com,557.193.8141,"915 Mathis Camp Apt. 447
Thomastown, MS 44338*",Tarjeta,Entregado,Producto defectuoso,  49
4  ,present,North Brittney,?budget,  1100,23  ,2023-11-20,?Andrew Mitchell,briangonzales@example.net,+1-105-592-6193x7727_,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,*Entregado,,54
  24,present.,North Brittney,budget , 2100,  23,2023-03-22.,Roger Stephens_,steelejulian@example.net,001-338-955-6200_,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Efectivo,Entregado*,Producto defectuoso*, 74
 26,professor,East Janicemouth,matter,700 , 21,2023-01-14*,*Sean Mitchell,eric24@example.com*,001-594-337-5421x87814,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737?",Tarjeta,En camino,, 38
12  ,professor,Nguyenshire?,leader?,700 ,  30,2023-09-23,Charles Williams,_sandersbeth@example.org,641-800-6599x2234,"664 Berger Rapid
South Suzanne, WV 68526*",Tarjeta,Entregado,Producto defectuoso,25 
  30,_operation,East*Janicemouth,pay,1500 ,10 ,2023-08-27,Dr. Monica Woods,parkerandrew@example.org,2661673098,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",.Tarjeta,Entregado,,74  
 11,food?,North Jasmine*,budget, 2100,10 ,2023-07-15,Kelsey  Lopez,powersjimmy@example.org,*857-262-8794,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo*,En camino,Producto?defectuoso, 53
 19,up,East Brittany,TV,900  , 22,2023-02-09,Jennifer Holmes,estesjon@example.org,001-419-330-3873x87349," 664 Berger Rapid
South Suzanne, WV 68526",Tarjeta_,En camino,Producto defectuoso_,27
